Education,Seniority,Income
21.5862069,113.1034483,99.91717261
18.27586207,119.3103448,92.57913486
12.06896552,100.6896552,34.67872715
17.03448276,187.5862069,78.70280624
19.93103448,20,68.00992165
18.27586207,26.20689655,71.50448538
19.93103448,150.3448276,87.97046699
21.17241379,82.06896552,79.81102983
20.34482759,88.27586207,90.00632711
10,113.1034483,45.6555295
13.72413793,51.03448276,31.91380794
18.68965517,144.137931,96.2829968
11.65517241,20,27.9825049
16.62068966,94.48275862,66.60179242
10,187.5862069,41.53199242
20.34482759,94.48275862,89.00070082
14.13793103,20,28.81630076
16.62068966,44.82758621,57.68169426
16.62068966,175.1724138,70.10509604
20.34482759,187.5862069,98.83401154
18.27586207,100.6896552,74.7046992
14.55172414,137.9310345,53.53210563
17.44827586,94.48275862,72.07892367
10.4137931,32.4137931,18.57066503
21.5862069,20,78.80578429
11.24137931,44.82758621,21.38856131
19.93103448,168.9655172,90.81403512
11.65517241,57.24137931,22.63616262
12.06896552,32.4137931,17.61359304
17.03448276,106.8965517,74.6109602
